,,,,,Sales Team,Split %,,,,,,,
Customer:,,,,CE 1:,,0%,,,,,,,
Opportunity:,,,,CE 2:,,0%,,,,,,,
Approval #,,,,Specialist 1:,,0%,,,,,,,
,,,,Specialist 2:,,0%,,,,,,,
,,,,,,0%,,,,,,,
Hardware and Software Product Section,,,,,,,,,,,,,
Machine/Model,Description,Qty,Unit List Price,Total List Price,End User Discount,Customer Price,Sirius Discount,Sirius Cost,Profit,Margin,,,
5775-PAD,,2,"$37,160.00","$74,320",29.35%,"$52,507",32.40%,"$50,240 ","$2,267 ",4.32%,,,
5775-PVE,,2,"$1,34,820.00","$2,69,640",54.64%,"$1,22,309",59.91%,"$1,08,099 ","$14,210 ",11.62%,,,
5819-CRD,,1,"$2,52,000.00","$2,52,000",54.64%,"$1,14,307",59.91%,"$1,01,027 ","$13,280 ",11.62%,,,
7063-CR2,,2,"$14,848.00","$29,696",21.80%,"$23,222",25.12%,"$22,236 ",$986 ,4.25%,,,
7316-TF5,,2,"$3,000.00","$6,000",34.78%,"$3,913",37.60%,"$3,744 ",$169 ,4.32%,,,
5775-RS5,,2,"$2,025.00","$4,050",20.00%,"$3,240",25.12%,"$3,033 ",$207 ,6.40%,,,
SHIPPING, ,1,"$25,154.00","$25,154",0.00%,"$25,154",0.00%,"$25,154 ",$0 ,0.00%,,,
WSU,,1," $7,785 ","$7,785",,"$7,785",,"$7,785 ",$0 ,0.00%,,,
Hardware & Software Total:,,,,"$1,16,40,869",,"$54,68,128",,"$47,37,433 ","$6,04,758 ",11.06%,,,
,,,,"$1,16,37,867",,,,,,,,,
,,,,"$3,002",,,,,,, ,,
"Maintenance, Services & Incentives Sections Section",,,,,,,,,,,,,
Machine/Model,Description,Qyt,Unit/Sirius Ref. Price,Total List/Ref. Price,End User Discount,Customer Price,Sirius Discount,Sirius Cost,Profit,Margin,,,
Sirius Services,Implementation,1.00,"4,00,000.00","$4,00,000",-100.00%,"$8,00,000",30.00%,"$2,80,000 ","$5,20,000 ",65.00%,,,
Maintenance,,1.00,,$0,0.00%,$0,,,$0 ,#DIV/0!,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,
,RBD,1.00,"3,89,958.02","$3,89,958",,"$3,89,958",,"$3,89,958 ",$0 ,0.00%,,,
 ,Freight Outbound / Integration Center,2.00,"37,500.00","$75,000",,"$75,000",,"$75,000 ",$0 ,0.00%,,,
, ,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,
"Main., Services & Incentives Total:",,,,"$8,64,958",,"$12,64,958",,"$7,44,958 ","$5,20,000 ",41.11%,,,
,,,,,,,,,,,,,
Solution Total:,,,,"$1,25,05,827",,"$67,33,086",,"$54,82,391","$11,24,758",16.70%,,,
,,,,,,,,,,,,,
,,,,Purchase Authorization Price:,,"$67,30,738.77",,,,,,,
,,,,Balance:,,"-$2,348",,,,,,,
,,,,,,,,,,,,,
,,,,,,"$1,36,72,951",,,,,,,
